pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_bmassj,pl_radj,pl_eqt,st_teff,st_rad,st_mass,sy_dist
"HD 118203 b","HD 118203","Radial Velocity",2005,6.13497790000,0.0713000000,2.14000000,1.14000000,1361.00,5742.00,2.040000,1.270000,92.25890000
"HD 120084 b","HD 120084","Radial Velocity",2013,2142.00000000000,4.2100000000,6.40000000,,,4879.00,10.370000,2.160000,103.04400000
"Wolf 503 b","Wolf 503","Transit",2018,6.00127000000,0.0570600000,0.01969616,0.18226457,790.00,4716.00,0.689000,0.688000,44.52600000
"HIP 67851 b","HIP 67851","Radial Velocity",2015,89.23000000000,0.4200000000,1.15000000,,,4840.00,5.450000,1.280000,64.11810000
"NGTS-15 b","NGTS-15","Transit",2021,3.27623000000,0.0441000000,0.75100000,1.10000000,1146.00,5600.00,0.954000,0.995000,786.48500000
"HD 152843 b","HD 152843","Transit",2021,11.62071000000,0.1049000000,0.03089718,0.27210324,,6310.00,1.430000,1.150000,107.89800000
"TOI-1685 b","TOI-1685","Transit",2021,0.66913923000,0.0116400000,0.00965930,0.12677335,1000.00,3470.00,0.462000,0.466000,37.61530000
"TOI-2076 d","TOI-2076","Transit",2021,35.12803000000,0.1982000000,0.02296837,0.29173036,490.00,,0.758000,0.849000,41.90910000
"LHS 1678 c","LHS 1678","Transit",2021,3.69428400000,0.0327000000,,0.08395054,,3490.00,0.329000,0.345000,19.87820000
"HD 360 b","HD 360","Radial Velocity",2021,273.10000000000,0.9800000000,0.75000000,,,4770.00,10.860000,1.690000,111.54200000
"TOI-1064 b","TOI-1064","Transit",2022,6.44386800000,0.0615200000,0.04247575,0.23079708,784.00,4734.00,0.726000,0.748000,68.07260000
"Kepler-1548 b","Kepler-1548","Transit",2016,124.82867900000,,,0.23552502,,5706.00,0.970000,0.990000,872.27900000
"Kepler-197 b","Kepler-197","Transit",2014,5.59930800000,0.0600000000,,0.09100000,,6004.00,1.120000,,330.57500000
"EPIC 206024342 c","EPIC 206024342","Transit",2021,0.91172400000,,,0.12489985,,5724.00,1.100000,,369.88800000
"KIC 10068024 b","KIC 10068024","Orbital Brightness Modulation",2021,2.07354900000,,2.00000000,,,6118.40,1.574000,1.220000,721.10500000
"K2-202 b","K2-202","Transit",2018,3.40516400000,,,0.20534000,,5491.00,0.910685,0.971461,300.39700000
"Kepler-1892 b","Kepler-1892","Transit",2021,6.33123016400,,,0.16389353,,5383.00,0.759000,0.851000,851.59500000
"Kepler-316 b","Kepler-316","Transit",2014,2.24050800000,0.0270000000,,0.09500000,,4204.00,0.520000,,384.93800000
"HD 7449 b","HD 7449","Radial Velocity",2011,1270.55195000000,2.4380000000,8.17400000,,,,,1.196000,38.66200000
"NGTS-24 b","NGTS-24","Transit",2022,3.46787960000,0.0479000000,0.52000000,1.21400000,1499.00,5820.00,1.640000,1.260000,683.06200000
"HD 35843 b","HD 35843","Radial Velocity",2025,9.89910000000,0.0880000000,0.01837469,,,5666.00,0.897000,0.940000,69.60260000
"TOI-4201 b","TOI-4201","Transit",2023,3.58191940000,0.0400000000,2.48000000,1.22000000,725.00,3794.00,0.630000,0.610000,189.01100000
"LP 890-9 c","LP 890-9","Transit",2022,8.45746300000,0.0398400000,0.07960270,0.12195578,272.00,2850.00,0.155600,0.118000,32.42980000
"TOI-4308 b","TOI-4308","Transit",2023,9.15120100000,,,0.21580018,763.05,5243.00,0.793400,0.900000,108.93200000
"TOI-4487 A b","TOI-4487 A","Transit",2025,3.95407090000,0.0544800000,1.25000000,1.30300000,1639.00,6206.00,1.634000,1.378000,479.14500000
"TOI-4495 c","TOI-4495","Transit",2024,5.18553000000,0.0632300000,0.07299536,0.35953314,1365.00,6210.00,1.309000,1.247000,132.21400000
"TOI-4603 b","TOI-4603","Transit",2023,7.24599000000,0.0888000000,12.89000000,1.04200000,1677.00,6264.00,2.738000,1.765000,225.64300000
"Kepler-549 c","Kepler-549","Transit",2016,117.04049800000,,,0.26139709,,5360.00,0.840000,0.880000,635.14500000
"K2-316 b","K2-316","Transit",2020,1.13300000000,0.0147000000,,0.11865465,841.00,3436.00,0.379000,0.408000,112.48600000
"HD 5608 b","HD 5608","Radial Velocity",2012,768.70000000000,1.7900000000,1.16800000,,,4807.00,5.430000,1.290000,58.11050000
"HD 14067 b","HD 14067","Radial Velocity",2014,2744.00000000000,5.1500000000,15.30000000,,,4815.00,12.400000,2.400000,142.02400000
"HD 23079 b","HD 23079","Radial Velocity",2001,735.74000000000,,2.66000000,,,5994.00,1.080000,1.160000,33.45910000
"HD 23472 c","HD 23472","Transit",2019,29.79749000000,0.1646000000,0.01072906,0.16683051,467.00,4684.00,0.710000,0.670000,39.03410000
"HD 23472 d","HD 23472","Transit",2022,3.97664000000,0.0429800000,0.00173049,0.06691063,909.00,4684.00,0.710000,0.670000,39.03410000
"HD 23472 b","HD 23472","Transit",2019,17.66708700000,0.1162000000,0.02617765,0.17842836,543.00,4684.00,0.710000,0.670000,39.03410000
"HD 24040 b","HD 24040","Radial Velocity",2006,3668.00000000000,4.9200000000,3.86000000,,,5802.00,1.300000,1.110000,46.62240000
"Kepler-1610 b","Kepler-1610","Transit",2016,8.70181574000,,,0.14363458,,5383.00,0.870000,0.910000,864.33100000
"TOI-5716 b","TOI-5716","Transit",2025,6.76630000000,,,0.08564561,400.00,3436.00,0.220000,0.190000,39.41220000
"TOI-4666 b","TOI-4666","Transit",2025,2.90891650000,0.0340000000,0.48900000,1.11800000,695.00,3793.00,0.585000,0.576000,154.74900000
"TOI-4914 b","TOI-4914","Transit",2024,10.60057000000,0.0980000000,0.71422187,1.14818647,894.00,5805.00,1.000000,1.030000,299.89000000
"TOI-4994 b","TOI-4994","Transit",2024,21.49198400000,0.1515000000,0.28000000,0.76200000,717.60,5640.00,1.055000,1.005000,329.30400000
"TOI-5293 A b","TOI-5293 A","Transit",2023,2.93028900000,0.0340000000,0.54000000,1.06000000,675.00,3586.00,0.520000,0.540000,162.22900000
"TOI-5300 b","TOI-5300","Transit",2025,2.26219600000,0.0295000000,0.60000000,0.88000000,1043.00,4610.00,0.650000,0.670000,162.51000000
"TOI-5340 b","TOI-5340","Transit",2025,4.93943920000,0.0628000000,0.85000000,1.34500000,1566.00,5990.00,1.842000,1.350000,532.62900000
"HD 147379 b","HD 147379","Radial Velocity",2017,86.58000000000,,0.06796120,,,4090.00,,0.580000,10.76430000
"HD 184010 b","HD 184010","Radial Velocity",2022,286.60000000000,0.9400000000,0.31000000,,,4971.00,4.860000,1.350000,60.79930000
"NGTS-21 b","NGTS-21","Transit",2022,1.54338970000,0.0236000000,2.36000000,1.33000000,1357.00,4660.00,0.860000,0.720000,592.89100000
"NGTS-23 b","NGTS-23","Transit",2022,4.07643260000,0.0504000000,0.61300000,1.26700000,1327.00,6057.00,1.240000,1.010000,1074.95000000
"HD 73256 c","HD 73256","Radial Velocity",2023,2690.00000000000,3.8000000000,16.00000000,,,,,1.000000,36.70800000
"HD 167768 b","HD 167768","Radial Velocity",2022,20.65320000000,0.1512000000,0.85000000,,,4851.00,9.700000,1.080000,107.21400000
"TOI-6034 b","TOI-6034","Transit",2024,2.57618400000,0.0294900000,0.79800000,1.06300000,714.00,3635.00,0.489000,0.514000,117.99200000
"HD 167677 b","HD 167677","Radial Velocity",2023,1820.00000000000,2.8770000000,2.85000000,,,5474.00,,0.960000,54.32580000
"HD 74698 b","HD 74698","Radial Velocity",2023,15.01700000000,0.1210000000,0.07000000,,,5783.00,1.333000,1.039000,52.06480000
"HD 94771 b","HD 94771","Radial Velocity",2023,2164.00000000000,3.4800000000,0.53000000,,,5631.00,1.903000,1.200000,57.78070000
"HD 88986 b","HD 88986","Radial Velocity",2023,146.05000000000,0.5800000000,0.05411725,0.22214330,460.00,5861.00,1.543000,1.250000,33.26730000
"G 268-110 b","G 268-110","Radial Velocity",2025,1.43263000000,0.0128300000,0.00478245,,534.00,,,0.137000,
"HD 94890 c","HD 94890","Radial Velocity",2025,2492.19000000000,4.3300000000,8.91000000,,,4867.00,10.710000,1.740000,61.70120000
"TIC 434398831 c","TIC 434398831","Transit",2025,6.21029100000,0.0657200000,,0.50227582,1050.00,5638.00,0.909000,0.992000,217.01100000
"HD 143811 AB b","HD 143811 A","Imaging",2025,117000.00000000000,63.0000000000,6.10000000,1.40000000,,6791.00,,1.320000,136.60800000
"HD 102195 b","HD 102195","Radial Velocity",2006,4.11377000000,0.0500000000,0.41000000,,,5301.00,0.820000,0.760000,29.33860000
"HD 192263 b","HD 192263","Radial Velocity",1999,24.35560000000,0.1500000000,0.56000000,,,4976.00,0.740000,0.660000,19.63590000
"Kepler-774 b","Kepler-774","Transit",2016,11.08957230000,,,0.28280846,,6403.00,2.420000,1.570000,917.80400000
"Kepler-892 b","Kepler-892","Transit",2016,13.75210720000,,,0.25069141,,4747.00,0.720000,0.750000,570.72700000
"Kepler-111 b","Kepler-111","Transit",2014,3.34181500000,0.0460000000,,0.14100000,,5952.00,1.157000,,657.22300000
"K2-90 b","K2-90","Transit",2016,13.73331400000,0.0960000000,,0.23195646,502.00,4484.00,0.619000,0.629000,134.18800000
"HD 231701 b","HD 231701","Radial Velocity",2007,141.63000000000,0.5670000000,1.13000000,,,6101.00,1.530000,1.210000,108.87700000
"TOI-5789 d","TOI-5789","Radial Velocity",2026,29.65000000000,0.1756000000,0.01349785,,545.00,5185.00,0.833000,0.821000,20.45810000
"HD 187123 c","HD 187123","Radial Velocity",2008,3810.00000000000,4.8900000000,1.99000000,,,5790.00,1.150430,1.040000,45.95480000
"HD 191939 f","HD 191939","Radial Velocity",2022,2898.00000000000,3.7100000000,2.88000000,,,5348.00,0.940000,0.810000,53.60890000
"GJ 832 b","GJ 832","Radial Velocity",2008,3853.00000000000,3.7000000000,0.99000000,,,,,0.450000,4.96435000
"K2-157 c","K2-157","Radial Velocity",2025,25.94200000000,0.1650000000,0.09670000,,587.00,5334.00,0.860000,0.890000,298.37300000
"L 168-9 b","L 168-9","Transit",2020,1.40152604000,0.0208000000,0.01280565,0.14541911,998.00,3842.00,0.604000,0.614000,25.14960000
"GJ 9827 b","GJ 9827","Transit",2017,1.20897400000,0.0189000000,0.01346639,0.12846842,1035.01,4236.00,0.580000,0.620000,29.66100000
"HD 222076 b","HD 222076","Radial Velocity",2016,871.00000000000,1.8300000000,1.56000000,,,4806.00,4.100000,1.070000,91.15380000
"HD 75784 c","HD 75784","Radial Velocity",2018,7900.00000000000,8.4000000000,5.64000000,,,4867.00,3.400000,1.260000,85.43210000
"Kepler-937 c","Kepler-937","Transit",2016,153.34336400000,,,0.23820145,,6095.00,1.220000,1.150000,1571.46000000
"Kepler-79 c","Kepler-79","Transit",2012,27.40290000000,0.1870000000,0.01900000,0.33200000,,6174.00,1.302000,1.165000,1020.72000000
"GJ 3634 b","GJ 3634","Radial Velocity",2010,2.64561000000,0.0287000000,0.02600000,,,,0.430000,0.450000,20.37790000
"KMT-2021-BLG-1372L b","KMT-2021-BLG-1372L","Microlensing",2022,,2.3700000000,0.19277698,,,,,0.420000,5970.00000000
"K2-215 b","K2-215","Transit",2018,8.26964800000,,,0.18947385,,5704.00,0.974398,0.999987,403.96400000
"Kepler-561 c","Kepler-561","Transit",2016,5.35016198300,,,0.23909359,,5646.00,0.940000,0.960000,621.37800000
"Kepler-1406 b","Kepler-1406","Transit",2016,11.62905828000,,,0.09813543,,5892.00,1.120000,1.050000,572.40300000
"TOI-1710 b","TOI-1710","Transit",2022,24.28337700000,0.1660000000,0.07047828,0.46419489,602.99,5684.00,0.957400,1.025800,81.22710000
"TOI-1064 c","TOI-1064","Transit",2022,12.22657400000,0.0942900000,0.00786588,0.23650679,634.00,4734.00,0.726000,0.748000,68.07260000
"TOI-1268 b","TOI-1268","Transit",2022,8.15770940000,0.0711000000,0.30330832,0.81184902,918.90,5300.00,0.920000,0.960000,109.55700000
"TOI-500 b","TOI-500","Transit",2022,0.54817700000,0.0118900000,0.00446782,0.10402373,1617.00,4440.00,0.678000,0.740000,47.39240000
"HD 73583 c","HD 73583","Transit",2022,18.87974000000,0.1242000000,0.03051961,0.21322189,498.00,4511.00,0.650000,0.730000,31.56660000
"TOI-1670 b","TOI-1670","Transit",2022,10.98462000000,0.1030000000,0.13000000,0.18378121,1062.00,6170.00,1.316000,1.210000,168.06700000
"TOI-1107 b","TOI-1107","Transit",2022,4.07823870000,0.0561000000,3.35000000,1.30000000,1728.00,6311.00,1.810000,1.350000,281.31400000
"mu2 Sco b","mu2 Sco","Imaging",2022,,242.4000000000,14.40000000,,,21700.00,5.600000,9.100000,
"HD 93963 A c","HD 93963 A","Transit",2022,3.64513890000,0.0472600000,0.05789287,0.27832688,1212.45,5908.00,1.031100,1.084400,82.34320000
"TOI-181 b","TOI-181","Transit",2023,4.53200000000,0.0539000000,0.14520000,0.63390000,895.10,4994.00,0.745000,0.822000,96.23380000
"Kepler-1521 b","Kepler-1521","Transit",2016,47.14840805000,,,0.22303506,,5042.00,0.760000,0.810000,206.98300000
"KOI-984 b","KOI-984","Transit",2022,4.28817850000,0.0504000000,,0.38362097,1022.00,5295.00,0.818000,0.928000,252.66700000
"Kepler-1851 b","Kepler-1851","Transit",2021,12.02289963000,,,0.34794603,,5982.00,0.879000,0.967000,1589.81000000
"Kepler-1065 b","Kepler-1065","Transit",2016,3.60930890700,,,0.33276831,,5635.00,0.930000,0.940000,1122.48000000
"HD 27894 c","HD 27894","Radial Velocity",2017,36.07000000000,0.1980000000,0.16200000,,,,,0.800000,43.82140000
"HD 27894 b","HD 27894","Radial Velocity",2005,18.01939000000,0.1250000000,0.61900000,,,,,0.810000,43.82140000
"eps Tau b","eps Tau","Radial Velocity",2006,585.82000000000,1.8780000000,7.19000000,,,4877.00,12.350000,2.570000,47.52852000
"HD 44219 b","HD 44219","Radial Velocity",2010,472.00000000000,1.2600000000,0.58000000,,,,,1.200000,52.90510000
"HR 2562 b","HR 2562","Imaging",2016,,22.2000000000,22.00000000,,,,,1.300000,34.00710000
"HD 72659 c","HD 72659","Radial Velocity",2022,35500.00000000000,21.5000000000,19.40000000,,,5929.00,1.360000,1.033000,51.89490000
"4 UMa b","4 UMa","Radial Velocity",2006,270.27000000000,0.8770000000,7.90200000,,,4415.00,18.110000,1.234000,73.46030000
"55 Cnc f","55 Cnc","Radial Velocity",2007,260.58000000000,0.8020000000,0.15259807,,,5198.00,0.980000,1.015000,12.58550000
"OGLE-2018-BLG-1011L b","OGLE-2018-BLG-1011L","Microlensing",2019,,1.8000000000,1.80000000,,,,,0.180000,7100.00000000
"Kepler-1792 b","Kepler-1792","Transit",2021,4.19577980000,,,0.22481167,,5229.00,1.005000,0.878000,601.02900000
"Kepler-82 e","Kepler-82","Transit",2014,5.90220600000,0.0630000000,,0.22000000,,5428.00,0.945000,,904.32600000
"Kepler-1483 b","Kepler-1483","Transit",2016,9.50851560000,,,0.13560532,,6337.00,1.400000,1.250000,1273.78000000
"Kepler-191 c","Kepler-191","Transit",2014,17.73850600000,0.1280000000,,0.16600000,,5282.00,0.789000,,594.46400000
"Kepler-1602 b","Kepler-1602","Transit",2016,11.17931605000,,,0.11954679,,6296.00,1.360000,1.220000,629.80400000
"Kepler-1355 b","Kepler-1355","Transit",2016,1.28958811200,,,0.13025248,,5352.00,0.830000,0.880000,911.26900000
"Kepler-256 d","Kepler-256","Transit",2014,5.83917200000,0.0640000000,,0.22100000,,5551.00,1.301000,,1026.43000000
"Kepler-177 c","Kepler-177","Transit",2013,49.40926000000,,0.04625114,0.77883843,,5732.00,1.324000,0.921000,1435.44000000
"Kepler-529 c","Kepler-529","Transit",2016,12.83450220000,,,0.17842805,,6087.00,1.140000,1.070000,799.00800000
"MOA-2022-BLG-249L b","MOA-2022-BLG-249L","Microlensing",2023,,1.6300000000,0.01519688,,,,,0.180000,2000.00000000
"KOI-351 g","KOI-351","Transit",2013,210.73514000000,,0.04719528,,,,,1.242000,848.25400000
"HIP 77900 b","HIP 77900","Imaging",2024,,3319.0000000000,21.00000000,,2507.00,,,,150.86200000
"HD 156668 b","HD 156668","Radial Velocity",2010,4.64550000000,0.0500000000,0.01300000,,,4850.00,0.720000,0.772000,24.33230000
"Kepler-375 b","Kepler-375","Transit",2014,12.12593400000,0.1010000000,,0.12900000,,5826.00,0.837000,,1238.81000000
"TOI-1444 b","TOI-1444","Transit",2021,0.47027430000,0.0116000000,0.01126394,0.12649879,2130.02,5460.00,0.910500,0.951300,125.46300000
"K2-115 b","K2-115","Transit",2017,20.27299140000,0.1415000000,1.01000000,1.05300000,696.00,5870.00,0.855000,0.918000,413.59100000
"HD 39194 d","HD 39194","Radial Velocity",2021,33.87400000000,0.1949000000,0.01623518,,,,,0.860000,26.41310000
"DMPP-2 b","DMPP-2","Radial Velocity",2019,5.20300000000,0.0663800000,0.53953642,,,,,1.410000,137.94000000
"DMPP-2 d","DMPP-2","Radial Velocity",2026,16.49100000000,0.1432000000,0.28880364,,,,,1.410000,137.94000000
"DMPP-6 c","DMPP-6","Radial Velocity",2026,36.44100000000,0.2206000000,0.04238136,,,,1.270000,1.079000,54.63030000
"Kepler-1184 b","Kepler-1184","Transit",2016,53.59910440000,,,0.23909359,,5983.00,1.070000,1.050000,1157.84000000
"Kepler-222 d","Kepler-222","Transit",2014,28.08191200000,0.1800000000,,0.32900000,,5433.00,0.869000,,758.85400000
"Kepler-1431 b","Kepler-1431","Transit",2016,5.86601526000,,,0.13114462,,5806.00,1.030000,1.030000,1623.24000000
"Kepler-279 b","Kepler-279","Transit",2014,12.30968100000,0.1120000000,,0.32300000,,6363.00,1.746000,,1037.40000000
"Kepler-368 b","Kepler-368","Transit",2014,26.84768000000,0.1860000000,,0.29100000,,5502.00,2.019000,,770.97800000
"HD 92788 b","HD 92788","Radial Velocity",2000,325.80300000000,0.9700000000,3.76000000,,,5744.00,1.140000,1.150000,34.65380000
"HD 165155 b","HD 165155","Radial Velocity",2016,434.50000000000,1.1300000000,2.89000000,,,5426.00,0.950000,1.020000,63.35740000
"Kepler-317 b","Kepler-317","Transit",2014,5.52424200000,0.0610000000,,0.18600000,,5497.00,0.941000,,940.58400000
"Kepler-508 b","Kepler-508","Transit",2016,25.30889748000,,,0.14631100,,6025.00,1.250000,1.160000,324.61800000
"Kepler-1782 b","Kepler-1782","Transit",2021,5.75622987700,,,0.19888288,,4931.00,0.734000,0.794000,305.79200000
"Kepler-931 b","Kepler-931","Transit",2016,8.03755877000,,,0.11865465,,5241.00,0.810000,0.860000,
"HAT-P-14 b","HAT-P-14","Transit",2010,4.62767000000,,3.44000000,1.42000000,,6600.00,1.820000,2.650000,222.66300000
"Kepler-47 b","Kepler-47","Transit",2012,49.46430000000,0.2877000000,0.00651292,0.27210277,,,0.936000,0.957000,1025.02000000
"KIC 8540376 c","KOI-7892","Transit",2015,75.20000000000,,,0.21411366,,6474.00,1.260000,1.040000,1072.30000000
"Kepler-1582 b","Kepler-1582","Transit",2016,4.83817712000,,,0.13292890,,3208.00,0.300000,0.280000,78.89060000
"Kepler-307 b","Kepler-307","Transit",2013,10.42080000000,,0.02340874,0.21679008,,5367.00,0.814000,0.907000,575.58100000
"Kepler-1616 b","Kepler-1616","Transit",2016,6.76284377000,,,0.09099830,,6266.00,1.340000,1.210000,1137.81000000
"Kepler-794 b","Kepler-794","Transit",2016,11.13125132000,,,0.18824159,,5839.00,1.380000,1.190000,931.19200000
"Kepler-1234 b","Kepler-1234","Transit",2016,11.94014029000,,,0.25069141,,4967.00,0.760000,0.800000,916.74900000
"Kepler-133 c","Kepler-133","Transit",2014,31.51758600000,0.2040000000,,0.25300000,,5736.00,1.425000,,653.60000000
"HD 205158 b","HD 205158","Radial Velocity",2022,25.33798000000,0.1770000000,0.39200000,,,,,1.160000,86.61590000
"K2-325 b","K2-325","Transit",2020,6.93000000000,0.0419000000,,0.19627085,423.00,3287.00,0.298000,0.274000,111.63800000
"HD 153557 d","HD 153557","Radial Velocity",2022,40654.64809000000,21.4490000000,27.45400000,,,,,0.790000,17.94120000
"Kepler-357 d","Kepler-357","Transit",2014,49.49987500000,0.2460000000,,0.30600000,,5036.00,0.834000,,688.57300000
"Kepler-1919 b","Kepler-1919","Transit",2021,37.88660049000,,,0.23408967,,5513.00,0.818000,0.868000,1177.53000000
"KOBE-1 b","KOBE-1","Radial Velocity",2025,8.53990000000,0.0700600000,0.02768790,,594.40,4135.00,0.619000,0.629000,23.97180000
"Kepler-876 b","Kepler-876","Transit",2016,5.14438011000,,,0.12757605,,5060.00,0.770000,0.810000,820.91300000
"OGLE-2017-BLG-1434L b","OGLE-2017-BLG-1434L","Microlensing",2018,,1.1800000000,0.01393834,,,,,0.234000,860.00000000
"Kepler-553 c","Kepler-553","Transit",2016,328.24017000000,0.8980000000,6.70000000,1.03300000,251.00,5191.00,0.902000,0.889000,728.52500000
"Kepler-1412 b","Kepler-1412","Transit",2016,3.61460510000,,,0.07404764,,5880.00,1.270000,1.060000,755.67800000
"Kepler-1060 b","Kepler-1060","Transit",2016,46.87793670000,,,0.21232938,,5797.00,0.990000,0.990000,946.56500000
"Kepler-1169 b","Kepler-1169","Transit",2016,6.11009134000,,,0.08386118,,6191.00,1.230000,1.240000,522.82300000
"K2-357 b","K2-357","Transit",2021,16.34886370000,0.1450000000,,0.33187674,735.00,5794.00,1.000000,0.980000,517.68700000
"K2-49 b","K2-49","Transit",2016,2.77065000000,0.0309000000,,0.17218307,,4175.00,0.450000,0.510000,457.12500000
"Kepler-61 b","Kepler-61","Transit",2013,59.87756000000,,,0.19200000,273.00,4017.00,0.620000,0.635000,335.07900000
"HD 105779 b","HD 105779","Radial Velocity",2022,2412.00000000000,3.3800000000,0.64000000,,,5792.00,0.940000,0.890000,55.24110000
"K2-80 d","K2-80","Transit",2018,28.86725300000,,,0.22768446,,5377.00,0.841458,0.913111,200.80200000
"Kepler-338 d","Kepler-338","Transit",2014,44.43101400000,0.2570000000,,0.26800000,,5923.00,1.735000,,552.79800000
"Kepler-1687 b","Kepler-1687","Transit",2020,5.77954000000,,,0.14775973,,4132.00,0.726119,0.650000,417.01400000
"KMT-2017-BLG-1057L b","KMT-2017-BLG-1057L","Microlensing",2024,,2.3600000000,0.07393927,,,,,0.570000,6500.00000000
"HD 10697 b","HD 10697","Radial Velocity",1999,1075.37990000000,2.0510000000,5.74300000,,,,,0.990000,33.12050000
"GJ 3138 b","GJ 3138","Radial Velocity",2017,1.22003000000,0.0197000000,0.00560048,,,3717.00,0.500000,0.681000,28.47120000
"Kepler-228 b","Kepler-228","Transit",2014,2.56654600000,0.0380000000,,0.13600000,,6043.00,1.014000,,1644.61000000
"GJ 96 b","GJ 96","Radial Velocity",2018,73.94000000000,0.2910000000,0.06185697,,,3785.00,,0.600000,11.93150000
"Kepler-276 c","Kepler-276","Transit",2013,31.88400000000,,0.05200000,0.25900000,,,1.030000,1.100000,1144.86000000
"HD 233604 b","HD 233604","Radial Velocity",2013,192.00000000000,0.7470000000,6.57500000,,,4791.00,10.900000,1.500000,847.05800000
"Kepler-282 e","Kepler-282","Transit",2013,44.34700000000,,0.17700000,0.27700000,,,0.890000,0.970000,1337.61000000
"K2-249 b","K2-249","Transit",2018,12.40900000000,0.1151000000,,0.24890713,1061.00,6504.00,1.570000,1.320000,521.71600000
"2MASS J03590986+2009361 b","2MASS J03590986+2009361","Imaging",2024,,572.0000000000,18.00000000,,2369.00,,,,117.43500000
"Kepler-1237 b","Kepler-1237","Transit",2016,84.57332260000,,,0.25515211,,5472.00,0.900000,0.940000,1064.31000000
"GJ 3473 b","GJ 3473","Transit",2020,1.19800350000,0.0158900000,0.00585219,0.11276653,773.00,3347.00,0.364000,0.360000,27.36440000
"GJ 3473 c","GJ 3473","Radial Velocity",2020,15.50900000000,0.0876000000,0.02331435,,329.10,3347.00,0.364000,0.360000,27.36440000
"TOI-5205 b","TOI-5205","Transit",2023,1.63075700000,0.0199000000,1.08000000,1.03000000,737.00,3430.00,0.394000,0.392000,86.44930000
"WTS-1 b","WTS-1","Transit",2012,3.35205700000,0.0470000000,4.01000000,1.49000000,1500.00,6250.00,1.150000,1.200000,2346.01000000
"HD 96700 c","HD 96700","Radial Velocity",2021,19.88000000000,0.1410000000,0.01101223,,,5845.00,,0.890000,25.41110000
"Kepler-406 c","Kepler-406","Transit",2014,4.62332000000,,0.00900000,0.07600000,,5538.00,1.070000,1.070000,364.03000000
"Kepler-1048 b","Kepler-1048","Transit",2016,6.92101021000,,,0.14363458,,4651.00,0.700000,0.750000,556.00600000
"Kepler-84 f","Kepler-84","Transit",2014,44.55216900000,0.2500000000,,0.19600000,,6031.00,1.169000,,1023.90000000
"Kepler-306 d","Kepler-306","Transit",2014,17.32664400000,0.1200000000,,0.22000000,,4954.00,0.719000,,775.67900000
"Kepler-104 d","Kepler-104","Transit",2014,51.75539400000,0.2570000000,,0.31900000,,5711.00,1.349000,,400.78500000
"17 Sco b","17 Sco","Radial Velocity",2020,578.38000000000,1.4500000000,4.32000000,,,4157.00,25.920000,1.220000,124.95300000
"HD 33283 b","HD 33283","Radial Velocity",2006,18.19910000000,0.1508000000,0.32900000,,,5935.00,1.970000,1.380000,89.86230000
"Kepler-129 c","Kepler-129","Transit",2014,82.20000000000,0.3900000000,0.13529313,0.22481973,,5770.00,1.653000,1.178000,408.84500000
"K2-195 c","K2-195","Transit",2018,28.48278600000,,,0.22979917,,5712.00,0.906367,0.963364,315.01400000
"Kepler-238 f","Kepler-238","Transit",2013,50.44700000000,,0.04200000,0.17800000,,,0.960000,1.060000,1798.75000000
"Kepler-758 c","Kepler-758","Transit",2016,4.75793986000,,,0.15077170,,6228.00,1.420000,1.160000,1502.32000000
"HIP 71135 b","HIP 71135","Radial Velocity",2019,87.19000000000,0.3350000000,0.05915112,,,4146.00,,0.660000,32.33110000
"HD 202696 c","HD 202696","Radial Velocity",2019,946.60000000000,2.3420000000,1.86400000,,,5040.00,6.430000,1.910000,188.54600000
"Kepler-838 b","Kepler-838","Transit",2016,15.74957994000,,,0.24355429,,5770.00,0.960000,0.980000,1104.04000000
"Kepler-1733 b","Kepler-1733","Transit",2021,9.22957992600,,,0.32436701,,6320.00,1.252000,1.273000,2080.51000000
"GJ 3998 d","GJ 3998","Radial Velocity",2025,41.78000000000,0.1890000000,0.01909836,,,3726.00,0.500000,0.520000,18.14590000
"Kepler-1185 b","Kepler-1185","Transit",2016,104.35189760000,,,0.11865465,,5622.00,0.870000,0.960000,459.27300000
"Kepler-84 b","Kepler-84","Transit",2012,8.72600000000,,,0.19900000,,,1.430000,1.000000,1023.90000000
"HAT-P-66 b","HAT-P-66","Transit",2016,2.97208600000,0.0436300000,0.78300000,1.59000000,1896.00,6002.00,1.881000,1.255000,935.45600000
"Kepler-1352 b","Kepler-1352","Transit",2016,1.87788274800,,,0.07940048,,6118.00,1.160000,1.110000,670.82900000
"Kepler-1545 b","Kepler-1545","Transit",2016,163.69234900000,,,0.24087787,,5201.00,0.800000,0.840000,729.96400000
"HD 20781 c","HD 20781","Radial Velocity",2019,13.89050000000,0.1004000000,0.01680000,,,5256.00,,0.700000,35.97150000
"HD 20781 b","HD 20781","Radial Velocity",2019,5.31350000000,0.0529000000,0.00610000,,,5256.00,,0.700000,35.97150000
"Kepler-1173 b","Kepler-1173","Transit",2016,0.76985360000,,,0.07940048,,5252.00,0.820000,0.860000,377.06000000
"Kepler-405 c","Kepler-405","Transit",2014,29.72668200000,0.1880000000,,0.41600000,,5818.00,0.893000,,1065.08000000
"Kepler-1599 b","Kepler-1599","Transit",2016,122.36355300000,,,0.14452672,,5767.00,0.990000,0.990000,1328.20000000
"Kepler-831 b","Kepler-831","Transit",2016,5.62153941000,,,0.11330181,,5732.00,0.970000,0.990000,593.54000000
